,P3_7p
4BT+5TT+Methyl+Phenyl,0.010437220571639233
4BT+5TT+Br+Methyl,2.265584339955107e-05
4BT+4TT+Stannyl+Phenyl,0.0
4BT+4TT+Stannyl+Br,0.0005499466314247009
4BT+6TT+2H,0.010168068778610317
4BT+6TT+H+Methyl,0.03254811069190091
4BT+5TT+2Phenyl,0.0
4BT+5TT+Br+Phenyl,0.0
4BT+5TT+2Br,0.0
4BT+5TT+Stannyl+H,0.0
4BT+6TT+2Methyl,0.027396321480188616
4BT+5TT+Stannyl+Methyl,0.0015122624638856902
4BT+4TT+2Stannyl,0.0009552856302802569
4BT+6TT+H+Phenyl,0.005111309886903972
4BT+6TT+Br+H,0.0
4BT+6TT+Methyl+Phenyl,0.007888231984943298
4BT+6TT+Br+Methyl,0.00037772243299179047
4BT+5TT+Stannyl+Phenyl,0.0
4BT+5TT+Stannyl+Br,0.0
5BT+3TT+2H,-0.0
4BT+6TT+2Phenyl,0.0
4BT+6TT+Br+Phenyl,0.0
4BT+6TT+2Br,-0.0
4BT+6TT+Stannyl+H,0.02512045563374213
5BT+3TT+H+Methyl,-0.0
4BT+6TT+Stannyl+Methyl,0.0009400502717357279
5BT+3TT+2Methyl,0.009992238952155322
4BT+5TT+2Stannyl,0.0034929882508588743
5BT+3TT+H+Phenyl,-0.0
5BT+3TT+Br+H,0.0018427719623355953
4BT+6TT+Stannyl+Phenyl,0.0
5BT+3TT+Methyl+Phenyl,0.002935492871306994
4BT+6TT+Stannyl+Br,-0.0
5BT+3TT+Br+Methyl,0.0
5BT+4TT+2H,0.015420792809939392
5BT+4TT+H+Methyl,0.03340316940001409
5BT+3TT+2Phenyl,0.0
5BT+3TT+Br+Phenyl,0.0
5BT+3TT+2Br,-0.0
5BT+3TT+Stannyl+H,0.001558451371330739
5BT+4TT+2Methyl,0.020252728263048712
5BT+3TT+Stannyl+Methyl,0.0004970057695407211
4BT+6TT+2Stannyl,0.00566254255748654
5BT+4TT+H+Phenyl,0.0052749266894132054
5BT+4TT+Br+H,0.0
5BT+4TT+Methyl+Phenyl,0.0054358749945415995
5BT+4TT+Br+Methyl,0.0
5BT+3TT+Stannyl+Phenyl,0.0
5BT+3TT+Stannyl+Br,-0.0
5BT+5TT+2H,0.01817281977398073
5BT+5TT+H+Methyl,0.04198754733907073
5BT+4TT+2Phenyl,0.0
5BT+4TT+Br+Phenyl,0.0
5BT+4TT+2Br,0.0015222153947628825
5BT+4TT+Stannyl+H,0.0
5BT+5TT+2Methyl,0.028494861130401027
5BT+4TT+Stannyl+Methyl,0.001558934964155118
5BT+3TT+2Stannyl,0.004765909659927442
5BT+5TT+H+Phenyl,0.00669365148266853
5BT+5TT+Br+H,0.0
5BT+5TT+Methyl+Phenyl,0.007593246095322101
5BT+5TT+Br+Methyl,0.0
5BT+4TT+Stannyl+Phenyl,0.0
5BT+4TT+Stannyl+Br,-0.0
5BT+6TT+2H,0.01567281063010921
5BT+6TT+H+Methyl,0.03755436534464262
5BT+5TT+2Phenyl,0.0
5BT+5TT+Br+Phenyl,0.004497909686717181
5BT+5TT+2Br,0.0
5BT+5TT+Stannyl+H,0.0
5BT+6TT+2Methyl,0.028948640379691123
5BT+5TT+Stannyl+Methyl,0.002095311226903122
5BT+4TT+2Stannyl,0.004391764118716469
5BT+6TT+H+Phenyl,0.006259897597825607
5BT+6TT+Br+H,0.00022230931141718676
5BT+6TT+Methyl+Phenyl,0.0077224405043677495
5BT+6TT+Br+Methyl,0.0001290123027596921
5BT+5TT+Stannyl+Phenyl,0.0
5BT+5TT+Stannyl+Br,0.0004190701812369303
5BT+7TT+2H,0.009906020501464843
5BT+7TT+H+Methyl,0.029167754858064998
5BT+6TT+2Phenyl,0.0
5BT+6TT+Br+Phenyl,0.0
5BT+6TT+2Br,0.0
5BT+6TT+Stannyl+H,0.0
5BT+7TT+2Methyl,0.023096547824087207
5BT+6TT+Stannyl+Methyl,0.001537762687845566
5BT+5TT+2Stannyl,0.003115949158322331
5BT+7TT+H+Phenyl,0.0040446643793074595
5BT+7TT+Br+H,0.0
5BT+7TT+Methyl+Phenyl,0.005960307989083079
5BT+7TT+Br+Methyl,0.00025217183018706334
5BT+6TT+Stannyl+Phenyl,0.0
5BT+6TT+Stannyl+Br,0.000346173761898408
6BT+4TT+2H,-0.0
5BT+7TT+2Phenyl,0.0
5BT+7TT+Br+Phenyl,0.0
5BT+7TT+2Br,0.0
5BT+7TT+Stannyl+H,0.014313564399813235
6BT+4TT+H+Methyl,-0.0
5BT+7TT+Stannyl+Methyl,0.001008827916559005
6BT+4TT+2Methyl,0.008318354772407218
5BT+6TT+2Stannyl,0.002291990651237157
6BT+4TT+H+Phenyl,-0.0
6BT+4TT+Br+H,0.001688911638518078
5BT+7TT+Stannyl+Phenyl,0.0
6BT+4TT+Methyl+Phenyl,0.0020436329722809893
5BT+7TT+Stannyl+Br,0.0
6BT+4TT+Br+Methyl,0.0
6BT+5TT+2H,0.011699546592210636
6BT+5TT+H+Methyl,0.023460261504700042
6BT+4TT+2Phenyl,0.0
6BT+4TT+Br+Phenyl,0.0
6BT+4TT+2Br,0.0
6BT+4TT+Stannyl+H,0.0018970912888378463
6BT+5TT+2Methyl,0.013256371034861714
6BT+4TT+Stannyl+Methyl,0.00010396983153378349
5BT+7TT+2Stannyl,0.003450371511691049
6BT+5TT+H+Phenyl,0.003385965233028341
6BT+5TT+Br+H,0.0
6BT+5TT+Methyl+Phenyl,0.0035098274783061404
6BT+5TT+Br+Methyl,0.0
6BT+4TT+Stannyl+Phenyl,0.0
6BT+4TT+Stannyl+Br,-0.0
6BT+6TT+2H,0.012955543198289851
6BT+6TT+H+Methyl,0.02895983241518397
6BT+5TT+2Phenyl,0.0
6BT+5TT+Br+Phenyl,0.0
6BT+5TT+2Br,-0.0
6BT+5TT+Stannyl+H,0.0004433436990813114
6BT+6TT+2Methyl,0.019165853456965434
6BT+5TT+Stannyl+Methyl,0.0012589118850439066
6BT+4TT+2Stannyl,0.003225760056164727
6BT+6TT+H+Phenyl,0.004254791741170366
6BT+6TT+Br+H,0.0
6BT+6TT+Methyl+Phenyl,0.00502572076948287
6BT+6TT+Br+Methyl,0.0
6BT+5TT+Stannyl+Phenyl,0.0
6BT+5TT+Stannyl+Br,0.0003813572726115679
6BT+7TT+2H,0.011569064210970056
6BT+7TT+H+Methyl,0.027916119083706007
6BT+6TT+2Phenyl,0.0
6BT+6TT+Br+Phenyl,0.002333567828913023
6BT+6TT+2Br,0.0
6BT+6TT+Stannyl+H,0.0
6BT+7TT+2Methyl,0.02047609685879705
6BT+6TT+Stannyl+Methyl,0.0014745857179787535
6BT+5TT+2Stannyl,0.004096792291566482
6BT+7TT+H+Phenyl,0.0042089911907034604
6BT+7TT+Br+H,1.2088191472395568e-05
6BT+7TT+Methyl+Phenyl,0.0052655733735473284
6BT+7TT+Br+Methyl,-0.0
6BT+6TT+Stannyl+Phenyl,0.0
6BT+6TT+Stannyl+Br,0.0
6BT+8TT+2H,0.006788467070779339
6BT+8TT+H+Methyl,0.01932835735377212
6BT+7TT+2Phenyl,0.0
6BT+7TT+Br+Phenyl,0.0
6BT+7TT+2Br,0.0
6BT+7TT+Stannyl+H,0.0
6BT+8TT+2Methyl,0.01525233802060899
6BT+7TT+Stannyl+Methyl,0.0012691904234755985
6BT+6TT+2Stannyl,-0.0
