,P2
4BT+5TT+Methyl+Phenyl,0.005155647951510807
4BT+5TT+Br+Methyl,0.0030027141887773614
4BT+4TT+Stannyl+Phenyl,0.0
4BT+4TT+Stannyl+Br,0.0
4BT+6TT+2H,0.005094616195408807
4BT+6TT+H+Methyl,0.007464070522204003
4BT+5TT+2Phenyl,0.0
4BT+5TT+Br+Phenyl,0.0009980753811358837
4BT+5TT+2Br,0.003745454312111976
4BT+5TT+Stannyl+H,0.0
4BT+6TT+2Methyl,0.0020463506729590233
4BT+5TT+Stannyl+Methyl,0.0
4BT+4TT+2Stannyl,0.0016553082832849654
4BT+6TT+H+Phenyl,0.00209039141465182
4BT+6TT+Br+H,0.0019929262337630128
4BT+6TT+Methyl+Phenyl,0.001253364676499947
4BT+6TT+Br+Methyl,0.0008528212121478691
4BT+5TT+Stannyl+Phenyl,0.0
4BT+5TT+Stannyl+Br,-0.0
5BT+3TT+2H,0.012311116224628061
4BT+6TT+2Phenyl,0.001721715733805058
4BT+6TT+Br+Phenyl,0.0
4BT+6TT+2Br,1.4643514964700668e-05
4BT+6TT+Stannyl+H,0.00037172349780372025
5BT+3TT+H+Methyl,0.02404408589363265
4BT+6TT+Stannyl+Methyl,0.0
5BT+3TT+2Methyl,0.012351617903113869
4BT+5TT+2Stannyl,0.004059718066415945
5BT+3TT+H+Phenyl,0.005727646740173421
5BT+3TT+Br+H,0.007168206048408508
4BT+6TT+Stannyl+Phenyl,0.0
5BT+3TT+Methyl+Phenyl,0.005171361222903856
4BT+6TT+Stannyl+Br,0.0
5BT+3TT+Br+Methyl,0.007576346685396152
5BT+4TT+2H,0.026528253516225984
5BT+4TT+H+Methyl,0.049094272381549
5BT+3TT+2Phenyl,0.0
5BT+3TT+Br+Phenyl,0.0011372379668513556
5BT+3TT+2Br,0.00195365580642772
5BT+3TT+Stannyl+H,0.0
5BT+4TT+2Methyl,0.024904396505266338
5BT+3TT+Stannyl+Methyl,0.00022677938524092486
4BT+6TT+2Stannyl,0.010347249343507073
5BT+4TT+H+Phenyl,0.011891900615557373
5BT+4TT+Br+H,0.014168948034658796
5BT+4TT+Methyl+Phenyl,0.011215271093361089
5BT+4TT+Br+Methyl,0.014023969360332365
5BT+3TT+Stannyl+Phenyl,0.0
5BT+3TT+Stannyl+Br,0.0005704580938343508
5BT+5TT+2H,0.025272852501097457
5BT+5TT+H+Methyl,0.03962425651682691
5BT+4TT+2Phenyl,0.0
5BT+4TT+Br+Phenyl,0.002880580358278281
5BT+4TT+2Br,0.0023100644076438533
5BT+4TT+Stannyl+H,0.0
5BT+5TT+2Methyl,0.017296146793092087
5BT+4TT+Stannyl+Methyl,0.0012919152189858475
5BT+3TT+2Stannyl,0.0063485915397743465
5BT+5TT+H+Phenyl,0.01094319826723969
5BT+5TT+Br+H,0.009512807148141827
5BT+5TT+Methyl+Phenyl,0.009347046858017448
5BT+5TT+Br+Methyl,0.008152940834418606
5BT+4TT+Stannyl+Phenyl,0.0
5BT+4TT+Stannyl+Br,0.00045995746001080976
5BT+6TT+2H,0.013785013091138696
5BT+6TT+H+Methyl,0.019971678944666164
5BT+5TT+2Phenyl,0.0
5BT+5TT+Br+Phenyl,0.002897442338518982
5BT+5TT+2Br,0.0006038593050911994
5BT+5TT+Stannyl+H,0.0
5BT+6TT+2Methyl,0.007406230208742578
5BT+5TT+Stannyl+Methyl,0.0
5BT+4TT+2Stannyl,0.0030918990982156396
5BT+6TT+H+Phenyl,0.005737513077744729
5BT+6TT+Br+H,0.003969666296097802
5BT+6TT+Methyl+Phenyl,0.0041988243251607086
5BT+6TT+Br+Methyl,0.002762241919985683
5BT+5TT+Stannyl+Phenyl,0.0
5BT+5TT+Stannyl+Br,0.0
5BT+7TT+2H,0.005076527208807071
5BT+7TT+H+Methyl,0.006580434547531984
5BT+6TT+2Phenyl,0.0
5BT+6TT+Br+Phenyl,0.0010318395037061342
5BT+6TT+2Br,0.003981596500434918
5BT+6TT+Stannyl+H,0.0
5BT+7TT+2Methyl,0.0019997007136954383
5BT+6TT+Stannyl+Methyl,0.0
5BT+5TT+2Stannyl,0.0012028440356240337
5BT+7TT+H+Phenyl,0.00157271716293816
5BT+7TT+Br+H,0.0018194245910302244
5BT+7TT+Methyl+Phenyl,0.000976500625028147
5BT+7TT+Br+Methyl,0.0009997693092952877
5BT+6TT+Stannyl+Phenyl,-0.0
5BT+6TT+Stannyl+Br,0.0
6BT+4TT+2H,0.01158216343752616
5BT+7TT+2Phenyl,0.00014018541166599825
5BT+7TT+Br+Phenyl,0.0
5BT+7TT+2Br,1.7963706141050635e-05
5BT+7TT+Stannyl+H,1.3049624119133634e-05
6BT+4TT+H+Methyl,0.021397760341681473
5BT+7TT+Stannyl+Methyl,0.0
6BT+4TT+2Methyl,0.010423247712253827
5BT+6TT+2Stannyl,0.003961120569172494
6BT+4TT+H+Phenyl,0.004938014233212582
6BT+4TT+Br+H,0.005780246667751652
5BT+7TT+Stannyl+Phenyl,0.0
6BT+4TT+Methyl+Phenyl,0.004334745932776094
5BT+7TT+Stannyl+Br,0.0
6BT+4TT+Br+Methyl,0.0059640910078268715
6BT+5TT+2H,0.02225528959542231
6BT+5TT+H+Methyl,0.036346275763446664
6BT+4TT+2Phenyl,0.0
6BT+4TT+Br+Phenyl,0.0009479319862894907
6BT+4TT+2Br,0.001178797730169767
6BT+4TT+Stannyl+H,0.0
6BT+5TT+2Methyl,0.017993473978133286
6BT+4TT+Stannyl+Methyl,0.0
5BT+7TT+2Stannyl,0.007642716365359964
6BT+5TT+H+Phenyl,0.008630733091645856
6BT+5TT+Br+H,0.009080600180663671
6BT+5TT+Methyl+Phenyl,0.008478258604264932
6BT+5TT+Br+Methyl,0.0091307455815684
6BT+4TT+Stannyl+Phenyl,0.0
6BT+4TT+Stannyl+Br,0.0007935292354616046
6BT+6TT+2H,0.02086118670684622
6BT+6TT+H+Methyl,0.02842032812916242
6BT+5TT+2Phenyl,0.0
6BT+5TT+Br+Phenyl,0.0028211544454151256
6BT+5TT+2Br,0.0006656286409260993
6BT+5TT+Stannyl+H,0.0
6BT+6TT+2Methyl,0.01284329842236053
6BT+5TT+Stannyl+Methyl,0.0005382317161649114
6BT+4TT+2Stannyl,0.004357540509397822
6BT+6TT+H+Phenyl,0.007465477131881003
6BT+6TT+Br+H,0.006228664903111727
6BT+6TT+Methyl+Phenyl,0.006543884585939755
6BT+6TT+Br+Methyl,0.005379367185986496
6BT+5TT+Stannyl+Phenyl,0.0
6BT+5TT+Stannyl+Br,0.0
6BT+7TT+2H,0.01142676897694713
6BT+7TT+H+Methyl,0.013551046551772316
6BT+6TT+2Phenyl,0.0
6BT+6TT+Br+Phenyl,0.002308193713280516
6BT+6TT+2Br,0.0
6BT+6TT+Stannyl+H,0.0
6BT+7TT+2Methyl,0.005158540693600115
6BT+6TT+Stannyl+Methyl,0.0
6BT+5TT+2Stannyl,0.0016792888143176334
6BT+7TT+H+Phenyl,0.0032919707259444256
6BT+7TT+Br+H,0.002316310851688016
6BT+7TT+Methyl+Phenyl,0.0027615016482539357
6BT+7TT+Br+Methyl,0.0014386736942979877
6BT+6TT+Stannyl+Phenyl,0.0
6BT+6TT+Stannyl+Br,0.0
6BT+8TT+2H,0.004306196427126644
6BT+8TT+H+Methyl,0.003957164173918615
6BT+7TT+2Phenyl,0.0
6BT+7TT+Br+Phenyl,0.0012277419894385624
6BT+7TT+2Br,0.0033638975702763555
6BT+7TT+Stannyl+H,0.0
6BT+8TT+2Methyl,0.0011163907746460004
6BT+7TT+Stannyl+Methyl,0.0
6BT+6TT+2Stannyl,0.0008105154486003086
